Tarih,Toplam Hasta,Toplam Vefat,Toplam İyileşen,Toplam Test,Toplam Yoğun Bakım,Toplam Entübe,Zatürre Oranı(%),Ağır Hasta,Günlük Vaka,Toplam Vaka
2020-03-11,1,0,0,,,,,,,
2020-03-12,1,0,0,,,,,,,
2020-03-13,5,0,0,,,,,,,
2020-03-14,6,0,0,,,,,,,
2020-03-15,18,0,0,,,,,,,
2020-03-16,47,0,0,,,,,,,
2020-03-17,98,1,0,,,,,,,
2020-03-18,191,2,0,,,,,,,
2020-03-19,359,4,0,,,,,,,
2020-03-20,670,9,0,,,,,,,
2020-03-21,947,21,0,,,,,,,
2020-03-22,1286,30,0,,,,,,,
2020-03-23,1529,37,0,,,,,,,
2020-03-24,1872,44,0,,,,,,,
2020-03-25,2433,59,0,,,,,,,
2020-03-26,3629,75,26,,,,,,,
2020-03-27,5698,92,42,47823,344,241,,,,
2020-03-28,7402,108,70,55464,445,309,,,,
2020-03-29,9217,131,105,65446,568,394,,,,
2020-03-30,10827,168,162,76981,725,523,,,,
2020-03-31,13531,214,243,92403,847,622,,,,
2020-04-01,15679,277,333,106799,979,692,,,,
2020-04-02,18135,356,415,125556,1101,783,,,,
2020-04-03,20921,425,484,141716,1251,867,,,,
2020-04-04,23934,501,786,161380,1311,909,,,,
2020-04-05,27069,574,1042,181445,1381,935,,,,
2020-04-06,30217,649,1326,202845,1415,966,,,,
2020-04-07,34109,725,1582,222868,1474,987,,,,
2020-04-08,38226,812,1846,247768,1492,995,,,,
2020-04-09,42282,908,2142,276338,1552,1017,,,,
2020-04-10,47029,1006,2423,307210,1667,1062,,,,
2020-04-11,52167,1101,2965,340380,1626,1021,,,,
2020-04-12,56956,1198,3446,376100,1665,978,,,,
2020-04-13,61049,1296,3957,410556,1786,1063,,,,
2020-04-14,65111,1403,4799,443626,1809,1087,,,,
2020-04-15,69392,1518,5674,477716,1820,1052,,,,
2020-04-16,74193,1643,7089,518143,1854,1040,,,,
2020-04-17,78546,1769,8631,558413,1845,1014,,,,
2020-04-18,82329,1890,10453,598933,1894,1054,,,,
2020-04-19,86306,2017,11976,634277,1922,1031,,,,
2020-04-20,90980,2140,13430,673980,1909,1033,,,,
2020-04-21,95591,2259,14918,713409,1865,1006,,,,
2020-04-22,98674,2376,16477,750944,1814,985,,,,
2020-04-23,101790,2491,18491,791906,1816,982,,,,
2020-04-24,104912,2600,21737,830257,1790,929,,,,
2020-04-25,107773,2706,25582,868565,1782,900,,,,
2020-04-26,110130,2805,29140,889742,1776,883,,,,
2020-04-27,112261,2900,33791,918885,1736,882,,,,
2020-04-28,114653,2992,38809,948115,1621,845,,,,
2020-04-29,117589,3081,44022,991613,1574,831,,,,
2020-04-30,120204,3174,48886,1033617,1514,803,,,,
2020-05-01,122392,3258,53808,1075048,1480,818,,,,
2020-05-02,124375,3336,58259,1111366,1445,778,,,,
2020-05-03,126045,3397,63151,1135367,1424,766,,,,
2020-05-04,127659,3461,68166,1171138,1384,727,,,,
2020-05-05,129491,3520,73285,1204421,1338,707,,,,
2020-05-06,131744,3584,78202,1234724,1278,669,,,,
2020-05-07,133721,3641,82984,1265119,1260,665,,,,
2020-05-08,135569,3689,86396,1298806,1219,653,,,,
2020-05-09,137115,3739,89480,1334411,1168,628,,,,
2020-05-10,138657,3786,92691,1370598,1154,598,,,,
2020-05-11,139771,3841,95780,1403320,1126,578,,,,
2020-05-12,141475,3894,98889,1440671,1045,576,,,,
2020-05-13,143114,3952,101715,1474003,998,535,,,,
2020-05-14,144749,4007,104030,1508824,963,508,,,,
2020-05-15,146457,4055,106133,1547389,944,490,,,,
2020-05-16,148067,4096,108137,1589625,906,474,,,,
2020-05-17,149435,4140,109962,1624994,914,468,,,,
2020-05-18,150593,4171,111577,1650135,903,463,,,,
2020-05-19,151615,4199,112895,1675517,882,455,,,,
2020-05-20,152587,4222,113987,1696355,877,445,,,,
2020-05-21,153548,4249,114990,1729988,820,424,,,,
2020-05-22,154500,4276,116111,1767495,800,401,,,,
2020-05-23,155686,4308,117602,1807673,775,388,,,,
2020-05-24,156827,4340,118694,1832262,769,385,,,,
2020-05-25,157814,4369,120015,1853754,756,371,,,,
2020-05-26,158762,4397,121507,1873607,739,338,,,,
2020-05-27,159797,4431,122793,1894650,723,331,,,,
2020-05-28,160979,4461,124369,1928209,683,339,,,,
2020-05-29,162120,4489,125963,1964364,662,324,,,,
2020-05-30,163103,4515,126984,2003594,649,308,,,,
2020-05-31,163942,4540,127973,2039194,648,287,,,,
2020-06-01,164769,4563,128947,2070719,651,283,,,,
2020-06-02,165555,4585,129921,2103044,633,271,,,,
2020-06-03,166422,4609,130852,2155349,612,261,,,,
2020-06-04,167410,4630,131778,2209583,602,265,,,,
2020-06-05,168340,4648,133400,2267412,592,269,,,,
2020-06-06,169218,4669,135322,2303258,591,264,,,,
2020-06-07,170132,4692,137969,2338593,613,274,,,,
2020-06-08,171121,4711,141380,2377954,625,261,,,,
2020-06-09,172114,4729,144598,2415179,642,281,,,,
2020-06-10,173036,4746,146839,2451700,631,280,,,,
2020-06-11,174023,4763,147860,2500890,643,266,,,,
2020-06-12,175218,4778,149102,2541903,664,282,,,,
2020-06-13,176677,4792,150087,2586995,684,284,,,,
2020-06-14,178239,4807,151417,2632171,717,290,,,,
2020-06-15,179831,4825,152364,2674203,722,291,,,,
2020-06-16,181298,4842,153379,2721003,732,303,,,,
2020-06-17,182727,4861,154640,2773904,745,306,,,,
2020-06-18,184031,4882,156022,2822316,755,311,,,,
2020-06-19,185245,4905,157516,2863632,769,310,,,,
2020-06-20,186493,4927,158828,2904744,781,318,,,,
2020-06-21,187685,4950,160240,2945240,803,327,,,,
2020-06-22,188897,4974,161533,2986653,846,345,,,,
2020-06-23,190165,5001,162848,3029635,893,362,,,,
2020-06-24,191657,5025,164234,3083121,914,356,,,,
2020-06-25,193115,5046,165706,3135424,941,369,,,,
2020-06-26,194511,5065,167198,3186622,963,382,,,,
2020-06-27,195883,5082,169182,3231835,984,366,,,,
2020-06-28,197239,5097,170595,3280144,996,381,,,,
2020-06-29,198613,5115,171809,3331158,1018,375,,,,
2020-06-30,199906,5131,173111,3381650,1026,368,,,,
2020-07-01,201098,5150,175422,3433963,1035,362,,,,
2020-07-02,202284,5167,176965,3483677,1067,372,,,,
2020-07-03,203456,5186,178278,3535818,1082,374,,,,
2020-07-04,204610,5206,179492,3584066,1093,378,,,,
2020-07-05,205758,5225,180680,3630480,1127,392,,,,
2020-07-06,206844,5241,182995,3682673,1130,395,,,,
2020-07-07,207897,5260,185292,3733218,1152,400,,,,
2020-07-08,208938,5282,187511,3782520,1172,406,,,,
2020-07-09,209962,5300,190390,3832623,1179,399,,,,
2020-07-10,210965,5323,191883,3881410,1182,402,,,,
2020-07-11,211981,5344,193217,3930223,1194,401,,,,
2020-07-12,212993,5363,194515,3975455,1209,409,,,,
2020-07-13,214001,5382,195671,4021947,1223,402,,,,
2020-07-14,214993,5402,196720,4065178,1204,396,,,,
2020-07-15,215940,5419,197733,4107498,1206,401,,,,
2020-07-16,216873,5440,198820,4149909,1213,394,,,,
2020-07-17,217799,5458,199834,4191124,1226,402,,,,
2020-07-18,218717,5475,201013,4232067,1231,394,,,,
2020-07-19,219641,5491,202010,4273377,1246,398,,,,
2020-07-20,220572,5508,203002,4316781,1243,385,,,,
2020-07-21,221500,5526,204011,4359627,1246,379,,,,
2020-07-22,222402,5545,205214,4403031,1244,381,,,,
2020-07-23,223315,5563,206365,4446374,1251,378,,,,
2020-07-24,224252,5580,207374,4489360,1248,379,,,,
2020-07-25,225173,5596,208477,4532672,1252,386,,,,
2020-07-26,226100,5613,209487,4572688,1249,387,,,,
2020-07-27,227019,5630,210469,4617971,1263,392,,,,
2020-07-28,227982,5645,211561,4665383,1280,403,,,,
2020-07-29,228924,5659,212557,4711095,,,9.4,542,,
2020-07-30,229891,5674,213539,4754331,,,9.3,561,,
2020-07-31,230873,5691,214535,4800823,,,8.8,582,,
2020-08-01,231869,5710,215516,4845669,,,8.7,586,,
2020-08-02,232856,5728,216494,4885916,,,8.5,582,,
2020-08-03,233851,5747,217497,4927217,,,8.4,580,,
2020-08-04,234934,5765,218491,4973466,,,8.5,583,,
2020-08-05,236112,5784,219506,5027308,,,8.4,582,,
2020-08-06,237265,5798,220546,5081802,,,8.3,580,,
2020-08-07,238450,5813,221574,5138528,,,8.3,586,,
2020-08-08,239622,5829,222656,5202370,,,8.1,587,,
2020-08-09,240804,5844,223759,5263816,,,8.1,596,,
2020-08-10,241997,5858,224970,5326035,,,8.2,603,,
2020-08-11,243180,5873,226155,5387751,,,8.2,617,,
2020-08-12,244392,5891,227089,5454988,,,8.2,632,,
2020-08-13,245635,5912,228057,5521880,,,7.9,647,,
2020-08-14,246861,5934,228980,5592072,,,7.8,656,,
2020-08-15,248117,5955,229972,5659286,,,7.6,668,,
2020-08-16,249309,5974,230969,5725242,,,7.6,679,,
